ID,Long30m,Lat30m,Hwy_Roads,Major_Roads,Res_Roads,Local_Trucks,Local_Restricted_Trucks,Commerical Zone,Industrial Zone,Residential Zone,NDVI_50,NLCD_Water_50,NLCD_DevOpen_50,NLCD_DevLow_50,NLCD_DevMed_50,NLCD_DevHigh_50,NLCD_Barren_50,NLCD_Deciduous_50,NLCD_Evergreen_50,NLCD_MixForest_50,NLCD_Shrub_50,NLCD_Herbaceous_50,NLCD_Pasture_50,NLCD_Crops_50,NLCD_WoodyWet_50,NLCD_EmergWet_50,Impervious_50,Distance_to_NPL,Distance_to_Rail,Elevation_50,Distance_to_TRI,Total_Road_50,Hwy_Road_50,Maj_Road_50,Res_Road_50,Pop_50,MinDist2Port,MinDist2MainPort,Dist2MainAirport,Dist2Airport
25952,-122.22519,37.77236,1,0,0,1,0,1,0,0,0.08346,0,0,0,25.64935,74.35065,0,0,0,0,0,0,0,0,0,0,85.74351,0.00048,0.01084,8.02117,0.00204,415.3722,314.46704,0,78.70282,32.78318,1.04648,0.1088,0.28056,0.28056
25955,-122.22509,37.80022,1,0,0,0,1,0,0,1,0.11706,0,0,0,88.14103,11.85897,0,0,0,0,0,0,0,0,0,0,72.54167,0.00054,0.00044,57.68154,0.00032,152.59825,0,92.39784,43.75439,77.1839,0.35606,0.12825,0.15025,0.15025
25956,-122.22509,37.77247,0,0,1,1,0,1,0,0,0.08291,0,0,0,29.12621,70.87379,0,0,0,0,0,0,0,0,0,0,84.31392,0.00048,0.01294,8.15771,0.00198,317.19752,237.85023,0,183.95335,0.45369,1.03618,0.1088,0.27965,0.27965
25957,-122.22508,37.77911,0,1,0,1,0,1,0,0,0.07827,0,0,0,30.03195,69.96805,0,0,0,0,0,0,0,0,0,0,81.84345,0.0005,0.00208,15.79095,0.00092,235.63799,228.63696,0,67.1047,0.45369,0.80109,0.1139,0.23188,0.23188
25959,-122.22506,37.77723,0,1,0,0,0,1,0,0,0.065,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,90.50794,0.00049,0.00309,13.30937,0.00106,481.0031,345.07599,0,145.48964,16.12144,0.88582,0.11243,0.24372,0.24372
25961,-122.22501,37.79999,1,0,0,0,1,0,0,1,0.12128,0,0,0,98.0456,1.9544,0,0,0,0,0,0,0,0,0,0,67.01954,0.00054,0.00045,58.80545,0.00032,153.27347,0,92.63209,43.75439,77.1839,0.3582,0.12803,0.15082,0.15082
25962,-122.22499,37.77208,1,0,0,1,0,1,0,0,0.08907,0,0,0,37.01299,62.98701,0,0,0,0,0,0,0,0,0,0,84,0.00047,0.00958,7.77202,0.00213,186.68076,189.16397,0,0,0,1.02893,0.10842,0.28314,0.28314
25963,-122.22497,37.77212,1,0,0,1,0,1,0,0,0.08705,0,0,0,33.54839,66.45161,0,0,0,0,0,0,0,0,0,0,84.51613,0.00047,0.01001,7.81574,0.00211,200.15763,0,169.04618,44.1143,67.79899,1.02688,0.10843,0.28284,0.28284
25964,-122.22496,37.77937,0,1,0,1,0,0,0,1,0.07734,0,0,0,45.45455,54.54545,0,0,0,0,0,0,0,0,0,0,79.26623,0.0005,0.00196,16.20008,0.00091,479.03585,353.74684,0,141.07969,16.12144,0.78452,0.11397,0.23044,0.23044
25965,-122.22487,37.77225,1,0,0,1,0,1,0,0,0.0784,0,0,0,21.0356,78.9644,0,0,0,0,0,0,0,0,0,0,86.00971,0.00047,0.01202,7.99744,0.00203,130.30255,0,84.91275,27.17617,79.53013,1.01755,0.10845,0.2817,0.2817
25966,-122.22487,37.8002,1,0,0,0,1,0,0,1,0.11261,0,0,0,80.58252,19.41748,0,0,0,0,0,0,0,0,0,0,74,0.00054,0.00044,57.72773,0.00032,500.80016,379.1083,0,139.30446,16.12144,0.35485,0.12793,0.15031,0.15031
25968,-122.22483,37.77962,0,1,0,1,0,0,0,1,0.08274,0,0,0,51.29032,48.70968,0,0,0,0,0,0,0,0,0,0,79.45484,0.0005,0.00186,16.55367,0.0009,147.28461,0,0,149.38708,67.79899,0.76854,0.11404,0.22901,0.22901
25969,-122.22483,37.77982,0,1,0,1,0,0,0,1,0.09158,0,0,0,49.19094,50.80906,0,0,0,0,0,0,0,0,0,0,79.46926,0.0005,0.0018,16.7171,0.00088,523.62894,387.9698,0,154.53342,16.12144,0.75965,0.11419,0.22782,0.22782
25971,-122.22477,37.77237,0,0,1,1,0,1,0,0,0.07629,0,0,0,19.93569,80.06431,0,0,0,0,0,0,0,0,0,0,85.73955,0.00047,0.01485,8.19619,0.00197,384.508,283.00474,0,78.70282,31.11173,1.00797,0.10845,0.28077,0.28077
25972,-122.22477,37.77709,0,0,1,0,0,1,0,0,0.06293,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,89.94156,0.00049,0.00304,13.15923,0.0011,367.62484,275.06262,0,69.95029,31.11173,0.87483,0.11205,0.24477,0.24477
25973,-122.22476,37.80015,1,0,0,0,1,0,0,1,0.11005,0,0,0,78.34395,21.65605,0,0,0,0,0,0,0,0,0,0,73.55414,0.00054,0.00044,57.79779,0.00032,140.11694,0,84.91276,41.29231,84.22258,0.35473,0.12776,0.15045,0.15045
25976,-122.22471,37.77987,0,1,0,1,0,0,0,1,0.09937,0,0,0,56.41026,43.58974,0,0,0,0,0,0,0,0,0,0,78.82372,0.0005,0.00177,16.83543,0.00088,189.74906,223.27672,0,0,0.45369,0.7531,0.1141,0.2276,0.2276
25977,-122.22469,37.77196,1,0,0,1,0,1,0,0,0.09098,0,0,0,41.69381,58.30619,0,0,0,0,0,0,0,0,0,0,81.81759,0.00047,0.01028,7.59822,0.00213,477.00666,380.56004,0,123.64412,16.12144,1.00166,0.10807,0.28446,0.28446
25978,-122.22469,37.79985,1,0,0,0,1,0,0,1,0.12911,0,0,0,84.24437,15.75563,0,0,0,0,0,0,0,0,0,0,68.27653,0.00054,0.00045,59.03832,0.00032,265.03422,0,199.08858,81.02951,67.79899,0.35782,0.1275,0.15123,0.15123
25979,-122.22468,37.79993,1,0,0,0,1,0,0,1,0.12119,0,0,0,82.58065,17.41935,0,0,0,0,0,0,0,0,0,0,69.47742,0.00054,0.00044,58.37637,0.00032,177.50999,0,84.91276,78.93636,79.53013,0.35687,0.12754,0.15102,0.15102
25980,-122.22466,37.77201,1,0,0,1,0,1,0,0,0.08751,0,0,0,35.59871,64.40129,0,0,0,0,0,0,0,0,0,0,82.66667,0.00047,0.01094,7.71392,0.0021,194.79642,196.15058,0,0,0,0.9989,0.10808,0.28403,0.28403
25981,-122.22458,37.78012,0,1,0,1,0,0,0,1,0.12585,0,0,8.36013,60.7717,30.86817,0,0,0,0,0,0,0,0,0,0,69.21222,0.0005,0.00168,17.09895,0.00087,450.82218,362.7791,0,105.33538,16.12144,0.7382,0.11417,0.2262,0.2262
25982,-122.22456,37.77215,1,0,0,1,0,1,0,0,0.07103,0,0,0,28.20513,71.79487,0,0,0,0,0,0,0,0,0,0,83.42949,0.00047,0.01354,7.90969,0.00203,464.35174,378.01227,0,114.97803,16.12144,0.99003,0.10811,0.28283,0.28283
25983,-122.22454,37.80011,1,0,0,0,1,0,0,1,0.10882,0,0,0,64.74359,35.25641,0,0,0,0,0,0,0,0,0,0,75.74679,0.00054,0.00044,57.84669,0.00032,189.46241,222.05401,0,0,0.45369,0.35386,0.12745,0.15057,0.15057
25984,-122.22454,37.77698,0,1,0,0,0,1,0,0,0.0584,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,89.27302,0.00049,0.00301,13.07565,0.00113,325.20623,259.10499,0,52.37534,29.44029,0.86622,0.11176,0.24558,0.24558
25987,-122.22451,37.7778,0,0,1,0,0,1,0,0,0.05419,0,0,0,24.7557,75.2443,0,0,0,0,0,0,0,0,0,0,84.23127,0.00049,0.00248,14.44064,0.00106,247.24458,0,207.34961,46.92018,67.79899,0.83092,0.11235,0.24023,0.24023
25988,-122.22449,37.78031,0,0,1,1,0,0,0,1,0.13596,0,0,12.10191,52.86624,35.03185,0,0,0,0,0,0,0,0,0,0,65.29299,0.0005,0.00162,17.365,0.00086,183.08971,0,84.91277,88.68451,81.87635,0.72732,0.11422,0.22516,0.22516
25989,-122.22446,37.78037,0,1,0,1,0,0,0,1,0.13649,0,0,12.14058,50.79872,37.0607,0,0,0,0,0,0,0,0,0,0,65.27157,0.0005,0.00161,17.45614,0.00086,191.82466,0,91.64121,88.68451,81.87635,0.72382,0.11423,0.22482,0.22482
25991,-122.22443,37.80009,1,0,0,0,1,0,0,1,0.10863,0,0,0,59.61538,40.38462,0,0,0,0,0,0,0,0,0,0,76.24679,0.00054,0.00044,57.96487,0.00032,272.0388,263.24521,0,0,29.44029,0.35339,0.12727,0.15064,0.15064
25992,-122.22442,37.7721,1,0,0,1,0,1,0,0,0.06976,0,0,0,35.55556,64.44444,0,0,0,0,0,0,0,0,0,0,81.84444,0.00047,0.01428,7.78549,0.00202,186.68182,188.27552,0,0,0,0.97859,0.10796,0.2833,0.2833
25993,-122.22442,37.77698,0,1,0,0,0,1,0,0,0.05477,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,89.41424,0.00049,0.00295,13.14874,0.00114,458.1451,407.04364,0,84.87684,16.12144,0.85924,0.11165,0.24565,0.24565
25995,-122.2244,37.77182,1,0,0,1,0,1,0,0,0.09579,0,0,0,54.92063,45.07937,0,0,0,0,0,0,0,0,0,0,78.80317,0.00047,0.01081,7.30453,0.00213,173.97331,0,88.6685,72.62693,77.1839,0.99054,0.10772,0.28589,0.28589
25996,-122.22436,37.77188,1,0,0,1,0,1,0,0,0.08514,0,0,0,48.88179,51.11821,0,0,0,0,0,0,0,0,0,0,79.53994,0.00047,0.01175,7.40074,0.0021,256.95573,0,205.99519,54.39729,67.79899,0.98418,0.10774,0.28533,0.28533
25997,-122.22435,37.79986,0,0,1,1,1,0,0,1,0.12805,0,0,0,71.47436,28.52564,0,0,0,0,0,0,0,0,0,0,73.69872,0.00054,0.00044,58.35296,0.00032,401.037,315.29242,0,82.83876,16.12144,0.35551,0.12705,0.15123,0.15123
25999,-122.22431,37.77774,0,0,1,0,0,1,0,0,0.05832,0,0,0,19.28105,80.71895,0,0,0,0,0,0,0,0,0,0,85.27124,0.00049,0.00244,14.41934,0.00108,142.1947,0,82.19316,50.46941,79.53013,0.82337,0.11212,0.2407,0.2407
26000,-122.2243,37.77681,0,1,0,0,0,1,0,0,0.05268,0,0,0,12.21865,87.78135,0,0,0,0,0,0,0,0,0,0,85.81672,0.00049,0.00301,12.94055,0.00117,261.01814,0,184.31128,78.64182,67.79899,0.85869,0.11141,0.24684,0.24684
26001,-122.22427,37.79987,0,0,1,1,1,0,0,1,0.12863,0,0,0,69.57929,30.42071,0,0,0,0,0,0,0,0,0,0,74.12945,0.00054,0.00044,58.18758,0.00032,438.97393,363.86002,0,102.38813,16.12144,0.35483,0.12694,0.15121,0.15121
26002,-122.22425,37.77204,1,0,0,1,0,1,0,0,0.06647,0,0,0,39.4822,60.5178,0,0,0,0,0,0,0,0,0,0,81.24919,0.00047,0.0153,7.64169,0.00201,469.72368,360.74474,0,104.73431,16.12144,0.96899,0.10777,0.28398,0.28398
26007,-122.22413,37.77684,0,1,0,0,0,1,0,0,0.05012,0,0,0,13.01587,86.98413,0,0,0,0,0,0,0,0,0,0,85.84762,0.00049,0.0029,13.0743,0.00118,173.19626,0,77.19342,87.7902,74.83767,0.84797,0.11128,0.24668,0.24668
26008,-122.22412,37.77166,1,0,0,0,0,1,0,0,0.09098,0,0,0,57.65472,42.34528,0,0,0,0,0,0,0,0,0,0,77.62541,0.00047,0.01112,7.02438,0.00213,142.66885,0,83.80781,50.46941,84.22258,1.01093,0.10738,0.28745,0.28745
26009,-122.22411,37.772,1,0,0,1,0,1,0,0,0.06297,0,0,0,37.66234,62.33766,0,0,0,0,0,0,0,0,0,0,81.90584,0.00047,0.01648,7.61738,0.002,152.59693,0,29.95762,114.43473,67.79899,0.974,0.10762,0.28436,0.28436
26010,-122.2241,37.80002,0,0,1,1,1,0,0,1,0.12968,0,0,0,58.59873,41.40127,0,0,0,0,0,0,0,0,0,0,75.16242,0.00053,0.00044,57.95597,0.00032,189.60732,214.52541,0,0,0.45369,0.35207,0.12679,0.15084,0.15084
26012,-122.22408,37.78112,0,1,0,1,0,0,0,1,0.08672,0,0,0,42.17252,57.82748,0,0,0,0,0,0,0,0,0,0,80.52077,0.0005,0.00141,18.65978,0.00082,439.25093,365.62727,0,85.7103,16.12144,0.68349,0.11442,0.22076,0.22076
26013,-122.22406,37.77174,1,0,0,1,0,1,0,0,0.07826,0,0,0,49.20128,50.79872,0,0,0,0,0,0,0,0,0,0,79.15335,0.00047,0.01254,7.16895,0.00209,194.7989,201.6828,0,0,0,1.00227,0.10739,0.28672,0.28672
26014,-122.22402,37.79979,1,0,0,0,1,0,0,1,0.13547,0,0,0,63.14103,36.85897,0,0,0,0,0,0,0,0,0,0,74.63462,0.00053,0.00044,58.27503,0.00032,265.11833,251.67788,0,0,29.44029,0.35413,0.12657,0.15142,0.15142
